mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04485244750976562,0.0025862053444713697,0.039595603942871094,0.014294243109098494,10.0,0.01,0.01,"{'svr__C': 10, 'svr__epsilon': 0.01, 'svr__gamma': 0.01}",-346.69725230867743,-594.2502177175362,-1919.526777709013,-1578.3750824264487,-529.8767084388512,-993.7452077201053,631.2376563537676,66
0.059897994995117186,0.017733002422660418,0.05320448875427246,0.02160606293300779,10.0,0.1,0.01,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__gamma': 0.01}",-346.69725230867743,-594.2671156287487,-1919.526777709013,-1578.3750824264487,-529.8767084388512,-993.7485873023477,631.235517530767,67
0.061112260818481444,0.013969351543637865,0.03738808631896973,0.007832102325417778,10.0,0.2,0.01,"{'svr__C': 10, 'svr__epsilon': 0.2, 'svr__gamma': 0.01}",-346.69725230867743,-594.2858964227705,-1919.526777709013,-1578.3750824264487,-529.8767084388512,-993.7523434611521,631.2331404616492,68
0.05385036468505859,0.02488852134501343,0.028792953491210936,0.0017235776565839957,10.0,0.5,0.01,"{'svr__C': 10, 'svr__epsilon': 0.5, 'svr__gamma': 0.01}",-346.69725230867743,-594.3422725077355,-1919.526777709013,-1578.3750824264487,-529.8767084388512,-993.7636186781452,631.226005471776,69
0.07396531105041504,0.04488867000286394,0.03184452056884766,0.006028584937625913,10.0,1.0,0.01,"{'svr__C': 10, 'svr__epsilon': 1.0, 'svr__gamma': 0.01}",-346.69725230867743,-594.4363449603694,-1919.526777709013,-1578.3750824264487,-529.8767084388512,-993.7824331686719,631.2141012220238,70
0.057167577743530276,0.016130706713671207,0.04201202392578125,0.01551838796505195,1.0,1.0,0.1,"{'svr__C': 1, 'svr__epsilon': 1.0, 'svr__gamma': 0.1}",-353.32762396118903,-598.0835386674906,-1930.4074946017051,-1599.9364110268418,-542.7064761256743,-1004.8923088765802,634.712769787279,71
0.045453643798828124,0.0022034177556430434,0.044838333129882814,0.017582404479710458,1.0,1.0,auto,"{'svr__C': 1, 'svr__epsilon': 1.0, 'svr__gamma': 'auto'}",-353.4623210827058,-598.2720575064004,-1930.5215575369282,-1599.5237039386125,-542.7418802062938,-1004.9043040541883,634.6117045550172,72
0.05317420959472656,0.013877647786050124,0.04440021514892578,0.013409871672265369,1.0,0.5,auto,"{'svr__C': 1, 'svr__epsilon': 0.5, 'svr__gamma': 'auto'}",-353.4623210827058,-598.2230240964749,-1930.5215575369282,-1599.5237039386125,-542.9444938623935,-1004.9350201034229,634.5884828492817,73
0.043839454650878906,0.000750619994492953,0.029366588592529295,0.0020817685943019283,10.0,1.0,0.001,"{'svr__C': 10, 'svr__epsilon': 1.0, 'svr__gamma': 0.001}",-353.6466062798389,-598.4128623737869,-1930.9250862754038,-1598.704331244581,-543.045732678777,-1004.9469237704776,634.475873983778,74
0.05638284683227539,0.016056647971988566,0.04797859191894531,0.028713063619232388,1.0,0.2,auto,"{'svr__C': 1, 'svr__epsilon': 0.2, 'svr__gamma': 'auto'}",-353.4623210827058,-598.1780480803843,-1930.5215575369282,-1599.5237039386125,-543.0662467387081,-1004.9503754754678,634.5765226845674,75
0.04705677032470703,0.007721175078637556,0.036014461517333986,0.011177329649364411,1.0,0.1,auto,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",-353.4623210827058,-598.1780480803843,-1930.5215575369282,-1599.5237039386125,-543.1068617905623,-1004.9584984858386,634.5706104345164,76
0.04335484504699707,0.0006952222089907549,0.03780031204223633,0.015134247847925539,1.0,0.5,0.1,"{'svr__C': 1, 'svr__epsilon': 0.5, 'svr__gamma': 0.1}",-353.32762396118903,-598.1031968288856,-1930.4074946017051,-1600.1963763064603,-542.7856263798839,-1004.9640636156248,634.7474729812174,77
0.06827516555786133,0.028530211283475673,0.03565964698791504,0.013873533345855033,1.0,0.01,auto,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",-353.4623210827058,-598.1780480803843,-1930.5215575369282,-1599.5237039386125,-543.1434284822066,-1004.9658118241674,634.5652878046676,78
